ticker,entry,exit
EVHC,12/2/2016,10/11/2018
FLS,infinity,3/22/2021
HBI,3/23/2015,12/20/2021
HWM,4/1/2020,infinity
DELL,9/23/2024,10/29/2013
MOH,3/2/2022,infinity
BS,infinity,12/5/2000
MRNA,7/21/2021,infinity
SYF,11/18/2015,infinity
ETFC,infinity,10/7/2020
CRM,9/12/2008,infinity
FOX,3/19/2019,3/19/2019
CRWD,6/24/2024,infinity
CEPH,infinity,10/14/2011
IT,4/5/2017,infinity
NLSN,7/8/2013,10/12/2022
DXCM,5/12/2020,infinity
QEP,6/30/2010,7/1/2015
HCBK,infinity,11/2/2015
ODP,infinity,12/17/2010
PANW,6/20/2023,infinity
GENZ,infinity,4/1/2011
MAC,5/8/2013,12/23/2019
VLTO,10/2/2023,infinity
URI,9/20/2014,infinity
AMTM,9/30/2024,12/23/2024
BBBY,infinity,7/26/2017
POM,infinity,3/30/2016
ABK,12/5/2000,6/10/2008
AJG,5/31/2016,infinity
DG,12/3/2012,infinity
ALLE,12/2/2013,infinity
TSO,9/27/2007,infinity
WFM,infinity,8/29/2017
HOG,infinity,6/22/2020
,infinity,infinity
BC,infinity,6/23/2008
TRIP,12/20/2011,12/23/2019
GEHC,1/4/2023,infinity
CVC,12/17/2010,6/22/2016
PTC,4/20/2021,infinity
CVG,6/12/2000,12/18/2009
DXC,4/4/2017,10/3/2023
DYN,infinity,12/18/2009
RRD,infinity,12/11/2012
ROST,12/18/2009,infinity
RHT,infinity,7/15/2019
WSM,3/24/2025,infinity
AIV,infinity,12/21/2020
AOS,7/26/2017,infinity
SWKS,3/12/2015,infinity
SLM,infinity,5/1/2014
MMI,1/3/2011,5/21/2012
JOYG,2/25/2011,infinity
CAM,infinity,4/4/2016
TYL,6/22/2020,infinity
PBI,infinity,3/1/2017
FRC,1/2/2019,5/4/2023
UA,4/8/2016,6/21/2022
ABBV,1/2/2013,infinity
MXIM,12/3/2018,8/30/2021
TRB,infinity,12/20/2007
UAL,9/2/2015,infinity
CFC,infinity,7/1/2008
LXK,infinity,10/1/2012
LKQ,5/23/2016,infinity
ATO,2/15/2019,infinity
JNS,infinity,11/18/2011
OMX,infinity,6/23/2008
SIG,7/29/2015,3/19/2018
MPWR,2/12/2021,infinity
ABMD,5/31/2018,12/22/2022
HOT,infinity,9/22/2016
MGM,7/26/2017,infinity
BEAM,infinity,5/1/2014
COIN,5/19/2025,infinity
DJ,infinity,12/13/2007
AMD,3/20/2017,9/20/2013
ESS,4/2/2014,infinity
BTU,infinity,9/20/2014
SUN,infinity,10/10/2012
CPRT,7/2/2018,infinity
BHF,8/8/2017,4/2/2019
HLT,6/19/2017,infinity
COTY,9/30/2016,9/21/2020
ANET,8/28/2018,infinity
TDG,6/3/2016,infinity
ADS,12/23/2013,6/22/2020
AKS,7/1/2008,12/16/2011
UAA,infinity,6/21/2022
WDAY,12/23/2024,infinity
RJF,3/20/2017,infinity
MUR,infinity,7/26/2017
TKO,3/24/2025,infinity
POOL,10/7/2020,infinity
ESRX,9/25/2003,12/24/2018
SRCL,infinity,12/3/2018
WAB,2/27/2019,infinity
NXPI,3/22/2021,infinity
INFO,6/2/2017,3/2/2022
GR,infinity,7/31/2012
GDDY,6/24/2024,infinity
NOV,infinity,9/20/2021
EXR,1/19/2016,infinity
VST,5/8/2024,infinity
ESV,7/31/2012,3/30/2016
EPAM,12/14/2021,infinity
RHI,infinity,6/24/2024
MTD,9/6/2016,infinity
VIAB,infinity,12/5/2019
CFN,infinity,3/18/2015
SLE,infinity,6/29/2012
MSCI,4/4/2018,infinity
NCC,9/30/1994,infinity
NWSA,7/1/2013,infinity
DNR,infinity,3/23/2015
EXPE,10/2/2007,infinity
COV,2/28/2011,1/27/2015
